step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,tl_1_stopped,tl_1_accumulated_waiting_time,tl_1_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
515.0,96,1273.0,6.844086021505376,2.700622263622998,96,12864.0,0.10515344882139882,96,12864.0
520.0,100,1329.0,7.106951871657754,2.6951209293384366,98,12845.0,0.10825288270930254,98,12845.0
525.0,98,1424.0,7.534391534391534,2.7524856776017765,96,13065.0,0.11358978472107176,96,13065.0
530.0,101,1525.0,7.942708333333333,2.692363865663331,99,13343.0,0.09257698719240998,99,13343.0
535.0,105,1661.0,8.696335078534032,2.9989480825507018,103,13660.0,0.09811365544880196,103,13660.0
540.0,101,1846.0,9.871657754010695,3.0899663706264566,99,14048.0,0.11400713371219624,99,14048.0
545.0,97,2032.0,10.866310160427808,3.2056122634253432,95,14422.0,0.13648451884132837,95,14422.0
550.0,89,2135.0,11.73076923076923,3.2501796000972925,89,14841.0,0.1476196680312293,89,14841.0
555.0,81,1807.0,10.151685393258427,3.3113571475607855,81,14665.0,0.16505226354771418,81,14665.0
560.0,81,1419.0,7.7967032967032965,3.182884060681735,79,14593.0,0.15339147739045061,79,14593.0
565.0,98,1637.0,8.994505494505495,2.9543836709186655,96,14782.0,0.12622297410731986,96,14782.0
570.0,109,2077.0,11.349726775956285,2.29186428581529,109,15229.0,0.08666072630065187,109,15229.0
575.0,117,2172.0,11.553191489361701,2.1206724143998983,117,15077.0,0.07098008781213508,117,15077.0
580.0,111,2068.0,10.770833333333334,2.335849160641786,111,14231.0,0.08542329780479639,111,14231.0
585.0,109,2005.0,10.38860103626943,2.540136857191601,107,14520.0,0.09600307537052774,107,14520.0
590.0,109,1953.0,10.015384615384615,2.548329838869147,107,14853.0,0.10146991401343325,107,14853.0
595.0,108,2045.0,10.380710659898478,2.828482737639231,106,15169.0,0.10724487574714238,106,15169.0
600.0,110,2075.0,10.58673469387755,2.940362167942196,108,15489.0,0.10067352601508851,108,15489.0
605.0,105,2129.0,11.146596858638743,3.038081223403612,103,15880.0,0.11312799834305237,103,15880.0
610.0,101,2015.0,10.833333333333334,2.8508186248535954,101,16390.0,0.11407981679388458,101,16390.0
615.0,87,1641.0,8.82258064516129,2.841164202087206,87,16237.0,0.1286510388336603,87,16237.0
620.0,75,1123.0,6.136612021857924,3.0874340909148117,73,16352.0,0.1529286413858888,73,16352.0
625.0,91,1297.0,7.165745856353591,2.8593781642292893,89,16531.0,0.14833761724770142,89,16531.0
630.0,105,1735.0,9.429347826086957,2.510035117994096,105,16966.0,0.11298618758393358,105,16966.0
635.0,114,1935.0,10.18421052631579,2.390788563225849,114,16686.0,0.09179879103019323,114,16686.0
640.0,112,1861.0,9.692708333333334,2.435551462119489,111,16075.0,0.08372833448545601,111,16075.0
645.0,115,1876.0,9.821989528795811,2.3548248395418208,113,16399.0,0.06997859799950802,113,16399.0
650.0,114,1951.0,10.005128205128205,2.1627736386850938,114,16954.0,0.07498495078558562,114,16954.0
655.0,106,1714.0,8.656565656565656,2.33686974662146,106,16935.0,0.08946221613831265,106,16935.0
660.0,99,1419.0,7.166666666666667,2.5863921184163647,97,17040.0,0.09783751602173,97,17040.0
665.0,98,1321.0,6.774358974358974,2.51477858692318,96,17408.0,0.09622379667755412,96,17408.0
670.0,102,1341.0,7.057894736842106,2.10676948686316,102,17905.0,0.08056284672745857,102,17905.0
